target_sku,other_sku,manufacturer,elasticity
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HOLLANDIA T. LATA NO RETORNABLE 500.0,manufacturer7,0.002775795
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,APOSTOL T. BOTELLA NO RETORNABLE 330.0,manufacturer43,0.002267094
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 250.0,manufacturer22,0.002801028
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MILLER LITE BOTELLA NO RETORNABLE 250.0,manufacturer10,0.000843678
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MILLER LITE BOTELLA RETORNABLE 330.0,manufacturer10,0.001150643
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 750.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ABBAYE D'AULNE T. BOTELLA NO RETORNABLE 750.0,manufacturer44,0.002851934
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TECATE CTE BOTELLA RETORNABLE 750.0,manufacturer10,0.00284455
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POLAR CTE LATA NO RETORNABLE 355.0,manufacturer47,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TORREMOLINOS T. BOTELLA NO RETORNABLE 330.0,manufacturer19,0.002821005
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE LATA NO RETORNABLE 330.0,manufacturer10,0.000999912
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,SCHOFFERHOFER T. BOTELLA NO RETORNABLE 500.0,manufacturer45,0.000597392
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,SOL CTE LATA NO RETORNABLE 310.0,manufacturer10,0.002184886
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,KARLSBRAU T. LATA NO RETORNABLE 500.0,manufacturer29,0.002328005
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TECATE CTE LATA NO RETORNABLE 355.0,manufacturer10,0.001617568
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 300.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,STOWFORD T. LATA NO RETORNABLE 500.0,manufacturer5,0.002852691
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS BLANCA BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002887852
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,DUVEL T. BOTELLA NO RETORNABLE 330.0,manufacturer9,0.002112195
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE BOTELLA RETORNABLE 750.0,manufacturer10,0.002895069
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. LATA NO RETORNABLE 330.0,manufacturer22,0.002908397
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ERDINGER DUNKEL BOTELLA NO RETORNABLE 500.0,manufacturer11,0.002926206
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ABBAYE D'AULNE T. BOTELLA NO RETORNABLE 330.0,manufacturer44,0.00287557
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PL CTE BOTELLA RETORNABLE 330.0,manufacturer17,0.002908994
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. LATA NO RETORNABLE 355.0,manufacturer22,0.002821601
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT LATA NO RETORNABLE 269.0,manufacturer10,0.002945845
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TROOPER T. LATA NO RETORNABLE 500.0,manufacturer13,0.001844306
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PAULANER HEFE-WEIBBIER T. BOTELLA NO RETORNABLE 500.0,manufacturer16,0.002869639
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002877629
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS ESPECIAL BOTELLA NO RETORNABLE 330.0,manufacturer22,0.002840233
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN HEINEKEN 0.0 BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002921101
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE LATA NO RETORNABLE 330.0,manufacturer10,0.002008946
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. LATA NO RETORNABLE 500.0,manufacturer22,0.002902169
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TECATE CTE BOTELLA RETORNABLE 330.0,manufacturer10,0.00287875
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 330.0,manufacturer22,0.003048104
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE LATA NO RETORNABLE 269.0,manufacturer10,0.00285069
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BITBURGER T. LATA NO RETORNABLE 500.0,manufacturer3,0.003155482
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CZECHVAR T. BOTELLA NO RETORNABLE 330.0,manufacturer14,0.003053182
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS ROSADA LATA NO RETORNABLE 269.0,manufacturer10,0.003004021
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,SOL CTE BOTELLA NO RETORNABLE 250.0,manufacturer10,0.002954066
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE BOTELLA RETORNABLE 330.0,manufacturer10,0.003148613
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ELVIS JUICE T. LATA NO RETORNABLE 330.0,manufacturer8,0.002880575
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HAZY JANE T. LATA NO RETORNABLE 330.0,manufacturer8,0.09204107
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ASPALL T. BOTELLA NO RETORNABLE 330.0,manufacturer28,0.002923713
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,VEDETT T. BOTELLA NO RETORNABLE 330.0,manufacturer27,0.001806516
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PL T. LATA NO RETORNABLE 330.0,manufacturer17,0.002748004
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PERONI CTE LATA NO RETORNABLE 330.0,manufacturer39,0.002675982
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HOLLANDIA T. BOTELLA NO RETORNABLE 650.0,manufacturer7,0.002906088
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TECATE CTE BOTELLA NO RETORNABLE 300.0,manufacturer10,0.003015401
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,SOL CTE BOTELLA NO RETORNABLE 355.0,manufacturer10,0.002825706
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HOLLANDIA T. LATA NO RETORNABLE 330.0,manufacturer7,0.002980927
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN HEINEKEN 0.0 LATA NO RETORNABLE 250.0,manufacturer10,0.002981922
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POLAR CTE BOTELLA NO RETORNABLE null.0,manufacturer47,0.002944212
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,DELIRIUM T. BOTELLA NO RETORNABLE 330.0,manufacturer34,0.002468453
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TECATE CTE LATA NO RETORNABLE 269.0,manufacturer10,0.002741443
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT BOTELLA NO RETORNABLE 250.0,manufacturer10,0.002842573
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002954789
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ESTRELLA DAMM T. LATA NO RETORNABLE 330.0,manufacturer31,0.002950473
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002685719
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CENTRAL T. LATA NO RETORNABLE 330.0,manufacturer10,0.00272306
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MILLER LITE LATA NO RETORNABLE 269.0,manufacturer10,0.003063801
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PUNK IPA T. BOTELLA NO RETORNABLE 330.0,manufacturer8,0.00021065
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT LATA NO RETORNABLE 473.0,manufacturer10,0.002984988
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE LATA NO RETORNABLE 473.0,manufacturer10,0.002920996
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS CTE BOTELLA NO RETORNABLE 330.0,manufacturer22,0.002985124
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PUNK IPA T. LATA NO RETORNABLE 330.0,manufacturer8,0.002976138
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 500.0,manufacturer22,0.002581781
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,GULDEN DRAAK T. BOTELLA NO RETORNABLE 330.0,manufacturer42,0.002857814
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0,manufacturer10,0.002802434
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT BOTELLA RETORNABLE 750.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 300.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,KOSTRITZER T. LATA NO RETORNABLE 500.0,manufacturer3,0.002798576
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 300.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ERDINGER CTE BOTELLA NO RETORNABLE 500.0,manufacturer11,0.002278643
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,POLA DEL PUB CTE LATA NO RETORNABLE 473.0,manufacturer21,0.002749966
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PAULANER MUNCHEM-WEISSBIER T. LATA NO RETORNABLE 500.0,manufacturer16,0.002899587
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,LIEFMANS T. BOTELLA NO RETORNABLE 250.0,manufacturer26,0.002897474
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,KUNSTMANN T. BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002942631
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,DELIRIUM T. BOTELLA NO RETORNABLE 750.0,manufacturer34,0.002829196
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,SCHOFFERHOFER T. BOTELLA NO RETORNABLE 330.0,manufacturer45,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,STEAM BREW T. LATA NO RETORNABLE 500.0,manufacturer38,0.002887792
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PAULANER MUNCHEM-WEISSBIER T. BOTELLA NO RETORNABLE 500.0,manufacturer16,0.00299438
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,PERONI CTE BOTELLA NO RETORNABLE 330.0,manufacturer39,0.001638113
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE LATA NO RETORNABLE 269.0,manufacturer10,0.0019793
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,SCHOFFERHOFER T. LATA NO RETORNABLE 500.0,manufacturer45,0.002436979
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BRUDER T. BOTELLA NO RETORNABLE 330.0,manufacturer18,0.002965551
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CHIMAY PERES T. BOTELLA NO RETORNABLE 750.0,manufacturer24,0.002873594
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,LANDVIK T. LATA NO RETORNABLE 330.0,manufacturer6,0.002476212
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,LLAVE CTE LATA NO RETORNABLE 330.0,manufacturer10,0.002956793
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,SOL CTE BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002900662
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,EICHBAUM T. LATA NO RETORNABLE 500.0,manufacturer38,0.003042111
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MILLER LITE LATA NO RETORNABLE 330.0,manufacturer10,0.00238817
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CZECHVAR T. BOTELLA NO RETORNABLE 300.0,manufacturer14,0.002226861
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HAZY JANE T. BOTELLA NO RETORNABLE 330.0,manufacturer8,0.000214401
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,STOWFORD T. BOTELLA NO RETORNABLE 500.0,manufacturer5,0.002959486
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CHIMAY PERES T. BOTELLA NO RETORNABLE 330.0,manufacturer24,0.002797206
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE LATA NO RETORNABLE 310.0,manufacturer10,0.002920996
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MILLER GENUINE DRAFT BOTELLA NO RETORNABLE 355.0,manufacturer10,0.002932642
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT BOTELLA RETORNABLE 250.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ASPALL T. BOTELLA NO RETORNABLE 500.0,manufacturer28,0.002895288
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT BOTELLA RETORNABLE 330.0,manufacturer10,0.002822106
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ERDINGER DUNKEL LATA NO RETORNABLE 500.0,manufacturer11,0.00290728
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BITBURGER T. BARRIL NO RETORNABLE 5000.0,manufacturer3,0.002880075
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ASAHI T. BOTELLA NO RETORNABLE 330.0,manufacturer33,0.002917326
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE BOTELLA RETORNABLE 250.0,manufacturer10,0.002916391
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MAREDSOUS T. BOTELLA NO RETORNABLE 330.0,manufacturer9,0.002563094
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE BOTELLA NO RETORNABLE 250.0,manufacturer10,0.002938384
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,SOL CTE LATA NO RETORNABLE 269.0,manufacturer10,0.003008229
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MILLER LITE LATA NO RETORNABLE 310.0,manufacturer10,0.003063801
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CENTRAL T. BOTELLA RETORNABLE 330.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS T. BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002934443
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. LATA NO RETORNABLE null.0,manufacturer22,0.002847703
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BALTIKA T. BOTELLA NO RETORNABLE 500.0,manufacturer2,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 330.0,manufacturer10,0.00146693
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ERDINGER CTE BOTELLA NO RETORNABLE 330.0,manufacturer11,0.002970834
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,3 CORDILLERAS NEGRA BOTELLA NO RETORNABLE 330.0,manufacturer10,0.002932605
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TECATE CTE LATA NO RETORNABLE 330.0,manufacturer10,0.002824722
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. BOTELLA RETORNABLE 330.0,manufacturer22,0.002408532
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HOLLANDIA T. BOTELLA NO RETORNABLE 330.0,manufacturer7,0.00300027
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,8.6 T. LATA NO RETORNABLE 500.0,manufacturer36,0.002935211
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS CTE LATA NO RETORNABLE 330.0,manufacturer22,0.001878
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE BOTELLA RETORNABLE 250.0,manufacturer10,0.002872174
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,LINO BREWING T. BOTELLA NO RETORNABLE 330.0,manufacturer37,0.002188658
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HOFBRAU T. BOTELLA NO RETORNABLE 500.0,manufacturer30,0.002866103
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,INNIS & GUNN T. BOTELLA NO RETORNABLE 330.0,manufacturer32,0.0000777
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS ESPECIAL LATA NO RETORNABLE 500.0,manufacturer22,0.003161567
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE LATA NO RETORNABLE 355.0,manufacturer10,0.002296409
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE BOTELLA NO RETORNABLE 300.0,manufacturer10,0.003149508
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MONARCA T. LATA NO RETORNABLE 330.0,manufacturer6,0.000898824
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,CHELARTE T. BOTELLA NO RETORNABLE 330.0,manufacturer23,0.003031333
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HE150KEN CTE LATA NO RETORNABLE 269.0,manufacturer10,0.00129007
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA LIGHT LATA NO RETORNABLE null.0,manufacturer10,0.00152716
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,GROLSCH PREMIUM BOTELLA NO RETORNABLE 330.0,manufacturer12,0.00292597
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA CTE BOTELLA NO RETORNABLE 250.0,manufacturer10,0.002791278
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE BOTELLA RETORNABLE 330.0,manufacturer10,0.002833808
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ELVIS JUICE T. BOTELLA NO RETORNABLE 330.0,manufacturer8,0.002936601
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,LIEFMANS T. BOTELLA NO RETORNABLE 330.0,manufacturer26,0.00287837
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,COLA & POLA CTE LATA NO RETORNABLE 269.0,manufacturer46,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,ANDINA COLOMBIANA CTE BOTELLA NO RETORNABLE 200.0,manufacturer10,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE BARRIL NO RETORNABLE 5000.0,manufacturer10,0.001496002
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TRES GUERREROS T. BOTELLA NO RETORNABLE 330.0,manufacturer25,0.002782043
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,STOWFORD T. BOTELLA NO RETORNABLE 330.0,manufacturer5,0.00294401
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE BOTELLA NO RETORNABLE 650.0,manufacturer10,0.002926993
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BENEDIKTINER T. LATA NO RETORNABLE 500.0,manufacturer3,0.002929363
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BENEDIKTINER T. BOTELLA NO RETORNABLE 500.0,manufacturer3,0.002700575
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,HEINEKEN CTE BARRIL NO RETORNABLE null.0,manufacturer10,0.001337606
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,MONARCA T. BOTELLA NO RETORNABLE 330.0,manufacturer6,0.00316846
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,BALTIKA T. BOTELLA NO RETORNABLE null.0,manufacturer2,0.001653325
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 750.0,manufacturer22,0
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,GROLSCH PREMIUM BOTELLA NO RETORNABLE 450.0,manufacturer12,0.001760392
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,WARSTEINER T. BOTELLA NO RETORNABLE 330.0,manufacturer11,0.002014607
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,TECATE CTE LATA NO RETORNABLE 473.0,manufacturer10,0
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA LIMONADA DE COCO LATA NO RETORNABLE 330.0,manufacturer46,0.000711277
POKER CTE LATA NO RETORNABLE 330.0,ANDINA COLOMBIANA CTE BOTELLA NO RETORNABLE 1500.0,manufacturer10,0
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA NO RETORNABLE 330.0,manufacturer46,0.003034215
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA LIMA LIMON LATA NO RETORNABLE 330.0,manufacturer46,0.004761804
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA NO RETORNABLE 400.0,manufacturer46,0.003034215
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA LULO LATA NO RETORNABLE 330.0,manufacturer46,0.008033517
POKER CTE LATA NO RETORNABLE 330.0,ANDINA COLOMBIANA CTE LATA NO RETORNABLE 310.0,manufacturer10,0.001103071
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA RETORNABLE 330.0,manufacturer46,0.002051564
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA ROJA BOTELLA RETORNABLE 330.0,manufacturer46,0.005450859
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA CTE BOTELLA NO RETORNABLE 1500.0,manufacturer46,0.003187077
POKER CTE LATA NO RETORNABLE 330.0,ANDINA COLOMBIANA CTE BOTELLA NO RETORNABLE 330.0,manufacturer10,0
POKER CTE LATA NO RETORNABLE 330.0,COLA & POLA CTE LATA NO RETORNABLE 330.0,manufacturer46,0.003089792
POKER CTE LATA NO RETORNABLE 330.0,ANDINA CTE LATA NO RETORNABLE 310.0,manufacturer10,0.003782707
POKER CTE LATA NO RETORNABLE 330.0,OTRAS MARCAS ESPECIAL LATA NO RETORNABLE 330.0,manufacturer22,0.0026397
POKER CTE LATA NO RETORNABLE 330.0,BITBURGER T. BOTELLA NO RETORNABLE 500.0,manufacturer3,0.003152524
POKER CTE LATA NO RETORNABLE 330.0,ERDINGER DUNKEL BOTELLA NO RETORNABLE 330.0,manufacturer11,0.003015241
POKER CTE LATA NO RETORNABLE 330.0,WEIDMANN T. LATA NO RETORNABLE 500.0,manufacturer4,0.003109134
POKER CTE LATA NO RETORNABLE 330.0,ANDINA LIGHT LATA NO RETORNABLE 310.0,manufacturer10,0.005167793
POKER CTE LATA NO RETORNABLE 330.0,ERDINGER CTE LATA NO RETORNABLE 500.0,manufacturer11,0.00279807
