sku,brand,sub_brand,package,type,capacity
CLUB COLOMBIA TRIGO BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA,TRIGO,BOTELLA,NO RETORNABLE,330
POKER PURA MALTA LATA NO RETORNABLE 330.0,POKER,PURA MALTA,LATA,NO RETORNABLE,330
AGUILA CERO LATA NO RETORNABLE 330.0,AGUILA,CERO,LATA,NO RETORNABLE,330
CORONA EXTRA BOTELLA RETORNABLE 330.0,CORONA,EXTRA,BOTELLA,RETORNABLE,330
CLUB COLOMBIA ROJA BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA,ROJA,BOTELLA,NO RETORNABLE,330
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 355.0,CLUB COLOMBIA,PREMIUM/EXTRA FINA,LATA,NO RETORNABLE,355
AGUILA LIGHT LATA NO RETORNABLE 269.0,AGUILA,LIGHT,LATA,NO RETORNABLE,269
COSTENA CTE BOTELLA RETORNABLE 1000.0,COSTENA,CTE,BOTELLA,RETORNABLE,1000
STELLA ARTOIS T. BOTELLA NO RETORNABLE 330.0,STELLA ARTOIS,T.,BOTELLA,NO RETORNABLE,330
REDD'S CTE BOTELLA NO RETORNABLE 250.0,REDD'S,CTE,BOTELLA,NO RETORNABLE,250
CORONA CERO BOTELLA NO RETORNABLE 330.0,CORONA,CERO,BOTELLA,NO RETORNABLE,330
CLUB COLOMBIA NEGRA BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA,NEGRA,BOTELLA,NO RETORNABLE,330
CLUB COLOMBIA ROJA BOTELLA RETORNABLE 330.0,CLUB COLOMBIA,ROJA,BOTELLA,RETORNABLE,330
CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,CLUB COLOMBIA,NEGRA,LATA,NO RETORNABLE,330
AZTECA CTE LATA NO RETORNABLE 330.0,AZTECA,CTE,LATA,NO RETORNABLE,330
CLUB COLOMBIA DOBLE MALTA LATA NO RETORNABLE 330.0,CLUB COLOMBIA,DOBLE MALTA,LATA,NO RETORNABLE,330
AGUILA LIGHT LATA NO RETORNABLE 330.0,AGUILA,LIGHT,LATA,NO RETORNABLE,330
BOGOTA BEER COMPANY LA COTIDIANA LATA NO RETORNABLE 269.0,BOGOTA BEER COMPANY,LA COTIDIANA,LATA,NO RETORNABLE,269
NATIVA T. BOTELLA RETORNABLE 330.0,NATIVA,T.,BOTELLA,RETORNABLE,330
AGUILA CERO LATA NO RETORNABLE 355.0,AGUILA,CERO,LATA,NO RETORNABLE,355
AGUILA LIGHT BOTELLA RETORNABLE 250.0,AGUILA,LIGHT,BOTELLA,RETORNABLE,250
COSTENA BACANA LATA NO RETORNABLE 330.0,COSTENA,BACANA,LATA,NO RETORNABLE,330
STELLA ARTOIS T. LATA NO RETORNABLE 250.0,STELLA ARTOIS,T.,LATA,NO RETORNABLE,250
PILSEN CTE LATA NO RETORNABLE 330.0,PILSEN,CTE,LATA,NO RETORNABLE,330
BECK'S CTE BOTELLA NO RETORNABLE 275.0,BECK'S,CTE,BOTELLA,NO RETORNABLE,275
COSTENA CTE BOTELLA RETORNABLE 330.0,COSTENA,CTE,BOTELLA,RETORNABLE,330
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 473.0,CLUB COLOMBIA,PREMIUM/EXTRA FINA,LATA,NO RETORNABLE,473
CORONITA EXTRA BOTELLA NO RETORNABLE 210.0,CORONITA,EXTRA,BOTELLA,NO RETORNABLE,210
POKER CTE LATA NO RETORNABLE 269.0,POKER,CTE,LATA,NO RETORNABLE,269
REDD'S CTE LATA NO RETORNABLE 296.0,REDD'S,CTE,LATA,NO RETORNABLE,296
BOGOTA BEER COMPANY CHAPINERO BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY,CHAPINERO,BOTELLA,NO RETORNABLE,330
CUSQUENA CTE BOTELLA NO RETORNABLE 330.0,CUSQUENA,CTE,BOTELLA,NO RETORNABLE,330
STELLA ARTOIS T. BOTELLA NO RETORNABLE 300.0,STELLA ARTOIS,T.,BOTELLA,NO RETORNABLE,300
REDD'S CTE BOTELLA RETORNABLE 330.0,REDD'S,CTE,BOTELLA,RETORNABLE,330
AGUILA 0 BOTELLA RETORNABLE 330.0,AGUILA,0,BOTELLA,RETORNABLE,330
CORONITA EXTRA BOTELLA RETORNABLE 210.0,CORONITA,EXTRA,BOTELLA,RETORNABLE,210
MICHELOB ULTRA CTE BOTELLA NO RETORNABLE 355.0,MICHELOB ULTRA,CTE,BOTELLA,NO RETORNABLE,355
STELLA ARTOIS T. LATA NO RETORNABLE 269.0,STELLA ARTOIS,T.,LATA,NO RETORNABLE,269
AGUILA 0 LATA NO RETORNABLE 330.0,AGUILA,0,LATA,NO RETORNABLE,330
AGUILA CTE LATA NO RETORNABLE 269.0,AGUILA,CTE,LATA,NO RETORNABLE,269
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 269.0,CLUB COLOMBIA,PREMIUM/EXTRA FINA,LATA,NO RETORNABLE,269
AGUILA LIGHT BOTELLA RETORNABLE 330.0,AGUILA,LIGHT,BOTELLA,RETORNABLE,330
BOGOTA BEER COMPANY CAJICA LATA NO RETORNABLE 269.0,BOGOTA BEER COMPANY,CAJICA,LATA,NO RETORNABLE,269
AGUILA CTE BOTELLA RETORNABLE 330.0,AGUILA,CTE,BOTELLA,RETORNABLE,330
CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,CLUB COLOMBIA,PREMIUM/EXTRA FINA,BOTELLA,RETORNABLE,330
AGUILA LIGHT BOTELLA RETORNABLE 750.0,AGUILA,LIGHT,BOTELLA,RETORNABLE,750
BOGOTA BEER COMPANY CAJICA BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY,CAJICA,BOTELLA,NO RETORNABLE,330
CORONA EXTRA BOTELLA NO RETORNABLE 355.0,CORONA,EXTRA,BOTELLA,NO RETORNABLE,355
AGUILA CTE BOTELLA RETORNABLE 1000.0,AGUILA,CTE,BOTELLA,RETORNABLE,1000
COSTENA BACANA BOTELLA NO RETORNABLE 320.0,COSTENA,BACANA,BOTELLA,NO RETORNABLE,320
BOGOTA BEER COMPANY SEPTIMAZO BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY,SEPTIMAZO,BOTELLA,NO RETORNABLE,330
AGUILA CTE LATA NO RETORNABLE 473.0,AGUILA,CTE,LATA,NO RETORNABLE,473
MODELO ESPECIAL BOTELLA NO RETORNABLE 355.0,MODELO,ESPECIAL,BOTELLA,NO RETORNABLE,355
PILSEN CTE BOTELLA RETORNABLE 750.0,PILSEN,CTE,BOTELLA,RETORNABLE,750
AGUILA CTE BOTELLA NO RETORNABLE 500.0,AGUILA,CTE,BOTELLA,NO RETORNABLE,500
AGUILA LIGHT BOTELLA RETORNABLE 1000.0,AGUILA,LIGHT,BOTELLA,RETORNABLE,1000
POKER CTE BOTELLA RETORNABLE 300.0,POKER,CTE,BOTELLA,RETORNABLE,300
CLUB COLOMBIA TRIGO LATA NO RETORNABLE 330.0,CLUB COLOMBIA,TRIGO,LATA,NO RETORNABLE,330
BUSCH LIGHT LATA NO RETORNABLE 330.0,BUSCH,LIGHT,LATA,NO RETORNABLE,330
CORONA EXTRA BOTELLA NO RETORNABLE 330.0,CORONA,EXTRA,BOTELLA,NO RETORNABLE,330
POKER CTE OTROS ENVASES NO RETORNABLE 330.0,POKER,CTE,OTROS ENVASES,NO RETORNABLE,330
BUDWEISER T. BOTELLA RETORNABLE 250.0,BUDWEISER,T.,BOTELLA,RETORNABLE,250
CLUB COLOMBIA JUAN VALDEZ LATA NO RETORNABLE 269.0,CLUB COLOMBIA,JUAN VALDEZ,LATA,NO RETORNABLE,269
AGUILA CTE BOTELLA NO RETORNABLE 330.0,AGUILA,CTE,BOTELLA,NO RETORNABLE,330
CLUB COLOMBIA TRIGO BOTELLA RETORNABLE 330.0,CLUB COLOMBIA,TRIGO,BOTELLA,RETORNABLE,330
MICHELOB ULTRA CTE LATA NO RETORNABLE 269.0,MICHELOB ULTRA,CTE,LATA,NO RETORNABLE,269
CLUB COLOMBIA GRAN DORADA BOTELLA RETORNABLE null.0,CLUB COLOMBIA,GRAN DORADA,BOTELLA,RETORNABLE,null
AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,AGUILA,LIGHT,BOTELLA,NO RETORNABLE,330
AGUILA CTE BOTELLA RETORNABLE 750.0,AGUILA,CTE,BOTELLA,RETORNABLE,750
BECK'S CTE LATA NO RETORNABLE 355.0,BECK'S,CTE,LATA,NO RETORNABLE,355
AGUILA LIGHT LATA NO RETORNABLE 296.0,AGUILA,LIGHT,LATA,NO RETORNABLE,296
REDD'S ROSE LATA NO RETORNABLE 269.0,REDD'S,ROSE,LATA,NO RETORNABLE,269
AUSTEN OTRAS LATA NO RETORNABLE 330.0,AUSTEN,OTRAS,LATA,NO RETORNABLE,330
BUDWEISER T. BOTELLA RETORNABLE 330.0,BUDWEISER,T.,BOTELLA,RETORNABLE,330
BAHIA CTE LATA NO RETORNABLE 330.0,BAHIA,CTE,LATA,NO RETORNABLE,330
CORONA EXTRA LATA NO RETORNABLE 269.0,CORONA,EXTRA,LATA,NO RETORNABLE,269
BOGOTA BEER COMPANY LAGER BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY,LAGER,BOTELLA,NO RETORNABLE,330
POKER ROJA LATA NO RETORNABLE 330.0,POKER,ROJA,LATA,NO RETORNABLE,330
AGUILA FUSION BOTELLA RETORNABLE 175.0,AGUILA,FUSION,BOTELLA,RETORNABLE,175
COSTENA CTE BOTELLA RETORNABLE 350.0,COSTENA,CTE,BOTELLA,RETORNABLE,350
CLUB COLOMBIA SIEMBRA BOTELLA RETORNABLE 330.0,CLUB COLOMBIA,SIEMBRA,BOTELLA,RETORNABLE,330
BECK'S CTE LATA NO RETORNABLE 269.0,BECK'S,CTE,LATA,NO RETORNABLE,269
CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 900.0,CLUB COLOMBIA,PREMIUM/EXTRA FINA,BOTELLA,NO RETORNABLE,900
AGUILA LIGHT LATA NO RETORNABLE 300.0,AGUILA,LIGHT,LATA,NO RETORNABLE,300
AGUILA FUSION BOTELLA RETORNABLE 330.0,AGUILA,FUSION,BOTELLA,RETORNABLE,330
POKER PURA MALTA BOTELLA RETORNABLE 330.0,POKER,PURA MALTA,BOTELLA,RETORNABLE,330
NATIVA T. BOTELLA RETORNABLE 250.0,NATIVA,T.,BOTELLA,RETORNABLE,250
AGUILA CERO BOTELLA NO RETORNABLE 330.0,AGUILA,CERO,BOTELLA,NO RETORNABLE,330
CLUB COLOMBIA ROJA LATA NO RETORNABLE 355.0,CLUB COLOMBIA,ROJA,LATA,NO RETORNABLE,355
BOGOTA BEER COMPANY CANDELARIA BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY,CANDELARIA,BOTELLA,NO RETORNABLE,330
BOGOTA BEER COMPANY OTRAS BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY,OTRAS,BOTELLA,NO RETORNABLE,330
AGUILA LIGHT BOTELLA NO RETORNABLE 200.0,AGUILA,LIGHT,BOTELLA,NO RETORNABLE,200
POKER CTE BOTELLA NO RETORNABLE 300.0,POKER,CTE,BOTELLA,NO RETORNABLE,300
AGUILA LIGHT BOTELLA NO RETORNABLE 300.0,AGUILA,LIGHT,BOTELLA,NO RETORNABLE,300
BUDWEISER T. BOTELLA NO RETORNABLE null.0,BUDWEISER,T.,BOTELLA,NO RETORNABLE,null
POKER ROJA LATA NO RETORNABLE 355.0,POKER,ROJA,LATA,NO RETORNABLE,355
BECK'S CTE BOTELLA RETORNABLE 275.0,BECK'S,CTE,BOTELLA,RETORNABLE,275
CLUB COLOMBIA DOBLE MALTA BOTELLA NO RETORNABLE 330.0,CLUB COLOMBIA,DOBLE MALTA,BOTELLA,NO RETORNABLE,330
COSTENA CTE LATA NO RETORNABLE 296.0,COSTENA,CTE,LATA,NO RETORNABLE,296
