sku,sellin_sku,segment,capacity
CLUB COLOMBIA NEGRA BOTELLA NO RETORNABLE 330.0,Club Colombia Negra NRB 330,Core+,330
CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,Club Colombia Negra RB 330,Core+,330
CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,Club Colombia Negra CAN 330,Core+,330
CLUB COLOMBIA OKTOBERFEST BOTELLA RETORNABLE 330.0,Club Colombia oktoberfest RB 330,Core+,330
CLUB COLOMBIA OKTOBERFEST LATA NO RETORNABLE 330.0,Club Colombia oktoberfest CAN 330,Core+,330
CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,Club Colombia NRB 330,Core+,330
CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,Club Colombia RB 330,Core+,330
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 269.0,Club Colombia CAN 269,Core+,269
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 330.0,Club Colombia CAN 330,Core+,330
CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 473.0,Club Colombia CAN 473,Core+,473
CLUB COLOMBIA ROJA BOTELLA NO RETORNABLE 330.0,Club Colombia Roja NRB 330,Core+,330
CLUB COLOMBIA ROJA BOTELLA RETORNABLE 330.0,Club Colombia Roja RB 330,Core+,330
CLUB COLOMBIA ROJA LATA NO RETORNABLE 330.0,Club Colombia Roja CAN 330,Core+,330
CLUB COLOMBIA TRIGO BOTELLA NO RETORNABLE 330.0,Club Colombia Trigo NRB 330,Core+,330
CLUB COLOMBIA TRIGO BOTELLA RETORNABLE 330.0,Club Colombia Trigo RB 330,Premium,330
CORONA CERO BOTELLA NO RETORNABLE 330.0,Corona Cero NRB 330,Super Premium,330
CORONA CERO LATA NO RETORNABLE 269.0,Corona Cero CAN 269,Super Premium,269
CORONA EXTRA BOTELLA NO RETORNABLE 330.0,Corona Extra NRB 330,Super Premium,330
CORONA EXTRA BOTELLA NO RETORNABLE 355.0,Corona Extra NRB 355,Super Premium,355
CORONA EXTRA LATA NO RETORNABLE 269.0,Corona Extra CAN 269,Super Premium,269
CORONITA EXTRA BOTELLA NO RETORNABLE 207.0,Corona Extra NRB 207,Super Premium,207
CORONITA EXTRA BOTELLA NO RETORNABLE 210.0,Corona Extra NRB 210,Super Premium,210
COSTENA BACANA BOTELLA RETORNABLE 320.0,Costena Bacana RB 320,Core,320
COSTENA BACANA LATA NO RETORNABLE 269.0,Costena Bacana CAN 269,Core,269
COSTENA BACANA LATA NO RETORNABLE 330.0,Costena Bacana CAN 330,Core,330
COSTENA BACANA LATA NO RETORNABLE 473.0,Costena Bacana CAN 473,Core,473
COSTENA CTE BOTELLA RETORNABLE 1000.0,Costena RB 1000,Core,1000
COSTENA CTE BOTELLA RETORNABLE 330.0,Costena RB 330,Value,330
COSTENA CTE BOTELLA RETORNABLE 350.0,Costena RB 350,Value,350
COSTENA CTE BOTELLA RETORNABLE 750.0,Costena RB 750,Value,750
COSTENA CTE LATA NO RETORNABLE 330.0,Costena CAN 330,Core,330
COSTENITA CTE BOTELLA RETORNABLE 175.0,Costenita RB 175,Premium,175
KAUFMANN OTRAS LATA NO RETORNABLE 330.0,Kaufmann CAN 330,Value,330
MICHELOB ULTRA CTE BOTELLA NO RETORNABLE 355.0,Michelob Ultra NRB 355,Premium,355
MICHELOB ULTRA CTE LATA NO RETORNABLE 269.0,Michelob Ultra CAN 269,Premium,269
MODELO ESPECIAL BOTELLA NO RETORNABLE 355.0,Modelo Especial NRB 355,Premium,355
NATIVA T. BOTELLA RETORNABLE 250.0,Nativa RB 250,Value,250
NATIVA T. BOTELLA RETORNABLE 330.0,Nativa RB 330,Value,330
PILSEN CTE BOTELLA RETORNABLE 1000.0,Pilsen RB 1000,Core,1000
PILSEN CTE BOTELLA RETORNABLE 330.0,Pilsen RB 330,Core,330
PILSEN CTE LATA NO RETORNABLE 330.0,Pilsen CAN 330,Core,330
PILSEN CTE LATA NO RETORNABLE 473.0,Pilsen CAN 473,Core,473
POKER CTE BOTELLA RETORNABLE 1000.0,Poker RB 1000,Core,1000
POKER CTE BOTELLA RETORNABLE 250.0,Poker RB 250,Core,250
POKER CTE BOTELLA RETORNABLE 330.0,Poker RB 330,Core,330
POKER CTE BOTELLA RETORNABLE 750.0,Poker RB 750,Core,750
POKER CTE LATA NO RETORNABLE 269.0,Poker CAN 269,Core,269
POKER CTE LATA NO RETORNABLE 330.0,Poker CAN 330,Core,330
POKER CTE LATA NO RETORNABLE 473.0,Poker CAN 473,Core,473
POKER LIGERA BOTELLA RETORNABLE 330.0,Poker Ligera RB 330,Core,330
POKER PURA MALTA BOTELLA RETORNABLE 330.0,Poker Pure Malt RB 330,Core,330
POKER PURA MALTA LATA NO RETORNABLE 330.0,Poker Pure Malt CAN 330,Core,330
REDD'S CTE BOTELLA RETORNABLE 330.0,Redds RB 330,Super Premium,330
REDD'S ROSE LATA NO RETORNABLE 269.0,Redds Rose CAN 269,Super Premium,269
STELLA ARTOIS T. BOTELLA NO RETORNABLE 330.0,Stella Artois NRB 330,Super Premium,330
STELLA ARTOIS T. LATA NO RETORNABLE 269.0,Stella Artois CAN 269,Super Premium,269
