year_month,sku,price_per_unit
2024-12,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2421
2025-01,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2720
2025-02,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2773
2025-03,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2789
2025-04,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2141
2025-05,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2156
2025-06,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2376
2025-07,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2810
2025-08,AGUILA CTE BOTELLA NO RETORNABLE 330.0,2407
2024-09,AGUILA CTE BOTELLA RETORNABLE 1000.0,5230
2024-10,AGUILA CTE BOTELLA RETORNABLE 1000.0,5887
2024-11,AGUILA CTE BOTELLA RETORNABLE 1000.0,5855
2024-12,AGUILA CTE BOTELLA RETORNABLE 1000.0,5596
2025-01,AGUILA CTE BOTELLA RETORNABLE 1000.0,5868
2025-02,AGUILA CTE BOTELLA RETORNABLE 1000.0,5286
2025-03,AGUILA CTE BOTELLA RETORNABLE 1000.0,5440
2025-04,AGUILA CTE BOTELLA RETORNABLE 1000.0,5247
2025-05,AGUILA CTE BOTELLA RETORNABLE 1000.0,5701
2025-06,AGUILA CTE BOTELLA RETORNABLE 1000.0,5337
2025-07,AGUILA CTE BOTELLA RETORNABLE 1000.0,5488
2025-08,AGUILA CTE BOTELLA RETORNABLE 1000.0,5792
2024-09,AGUILA CTE BOTELLA RETORNABLE 250.0,2457
2024-10,AGUILA CTE BOTELLA RETORNABLE 250.0,1715
2024-11,AGUILA CTE BOTELLA RETORNABLE 250.0,2270
2024-12,AGUILA CTE BOTELLA RETORNABLE 250.0,1706
2025-01,AGUILA CTE BOTELLA RETORNABLE 250.0,2313
2025-02,AGUILA CTE BOTELLA RETORNABLE 250.0,2249
2025-03,AGUILA CTE BOTELLA RETORNABLE 250.0,2176
2025-04,AGUILA CTE BOTELLA RETORNABLE 250.0,2222
2025-05,AGUILA CTE BOTELLA RETORNABLE 250.0,2041
2025-06,AGUILA CTE BOTELLA RETORNABLE 250.0,1737
2025-07,AGUILA CTE BOTELLA RETORNABLE 250.0,2455
2025-08,AGUILA CTE BOTELLA RETORNABLE 250.0,2151
2024-09,AGUILA CTE BOTELLA RETORNABLE 330.0,2749
2024-10,AGUILA CTE BOTELLA RETORNABLE 330.0,2221
2024-11,AGUILA CTE BOTELLA RETORNABLE 330.0,2835
2024-12,AGUILA CTE BOTELLA RETORNABLE 330.0,2227
2025-01,AGUILA CTE BOTELLA RETORNABLE 330.0,2889
2025-02,AGUILA CTE BOTELLA RETORNABLE 330.0,2311
2025-03,AGUILA CTE BOTELLA RETORNABLE 330.0,2948
2025-04,AGUILA CTE BOTELLA RETORNABLE 330.0,2319
2025-05,AGUILA CTE BOTELLA RETORNABLE 330.0,2360
2025-06,AGUILA CTE BOTELLA RETORNABLE 330.0,2475
2025-07,AGUILA CTE BOTELLA RETORNABLE 330.0,2289
2025-08,AGUILA CTE BOTELLA RETORNABLE 330.0,2261
2024-09,AGUILA CTE BOTELLA RETORNABLE 750.0,5134
2024-10,AGUILA CTE BOTELLA RETORNABLE 750.0,4973
2024-11,AGUILA CTE BOTELLA RETORNABLE 750.0,5185
2024-12,AGUILA CTE BOTELLA RETORNABLE 750.0,4870
2025-01,AGUILA CTE BOTELLA RETORNABLE 750.0,4493
2025-02,AGUILA CTE BOTELLA RETORNABLE 750.0,4827
2025-03,AGUILA CTE BOTELLA RETORNABLE 750.0,4922
2025-04,AGUILA CTE BOTELLA RETORNABLE 750.0,5028
2025-05,AGUILA CTE BOTELLA RETORNABLE 750.0,4741
2025-06,AGUILA CTE BOTELLA RETORNABLE 750.0,4762
2025-07,AGUILA CTE BOTELLA RETORNABLE 750.0,4884
2025-08,AGUILA CTE BOTELLA RETORNABLE 750.0,4670
2024-09,AGUILA CTE LATA NO RETORNABLE 269.0,2236.333333
2024-10,AGUILA CTE LATA NO RETORNABLE 269.0,2643
2024-11,AGUILA CTE LATA NO RETORNABLE 269.0,2418
2024-12,AGUILA CTE LATA NO RETORNABLE 269.0,1946
2025-01,AGUILA CTE LATA NO RETORNABLE 269.0,2364
2025-02,AGUILA CTE LATA NO RETORNABLE 269.0,2440
2025-03,AGUILA CTE LATA NO RETORNABLE 269.0,2474
2025-04,AGUILA CTE LATA NO RETORNABLE 269.0,2116
2025-05,AGUILA CTE LATA NO RETORNABLE 269.0,2670
2025-06,AGUILA CTE LATA NO RETORNABLE 269.0,2629
2025-07,AGUILA CTE LATA NO RETORNABLE 269.0,2589
2025-08,AGUILA CTE LATA NO RETORNABLE 269.0,2475
2024-09,AGUILA CTE LATA NO RETORNABLE 330.0,2818
2024-10,AGUILA CTE LATA NO RETORNABLE 330.0,2734
2024-11,AGUILA CTE LATA NO RETORNABLE 330.0,3103
2024-12,AGUILA CTE LATA NO RETORNABLE 330.0,3154
2025-01,AGUILA CTE LATA NO RETORNABLE 330.0,3546
2025-02,AGUILA CTE LATA NO RETORNABLE 330.0,3474
2025-03,AGUILA CTE LATA NO RETORNABLE 330.0,3387
2025-04,AGUILA CTE LATA NO RETORNABLE 330.0,3504
2025-05,AGUILA CTE LATA NO RETORNABLE 330.0,3397
2025-06,AGUILA CTE LATA NO RETORNABLE 330.0,3761
2025-07,AGUILA CTE LATA NO RETORNABLE 330.0,3723.333333
2025-08,AGUILA CTE LATA NO RETORNABLE 330.0,3511
2024-09,AGUILA CTE LATA NO RETORNABLE 473.0,3582
2024-10,AGUILA CTE LATA NO RETORNABLE 473.0,3833
2024-11,AGUILA CTE LATA NO RETORNABLE 473.0,3664
2024-12,AGUILA CTE LATA NO RETORNABLE 473.0,3875
2025-01,AGUILA CTE LATA NO RETORNABLE 473.0,3296
2025-02,AGUILA CTE LATA NO RETORNABLE 473.0,3703
2025-03,AGUILA CTE LATA NO RETORNABLE 473.0,3584
2025-04,AGUILA CTE LATA NO RETORNABLE 473.0,3806
2025-05,AGUILA CTE LATA NO RETORNABLE 473.0,3714
2025-06,AGUILA CTE LATA NO RETORNABLE 473.0,3689
2025-07,AGUILA CTE LATA NO RETORNABLE 473.0,3891
2025-08,AGUILA CTE LATA NO RETORNABLE 473.0,4075
2025-04,AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,4129
2025-05,AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,3935
2025-06,AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,4352
2025-07,AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,4128
2025-08,AGUILA IMPERIAL BOTELLA NO RETORNABLE 330.0,4177
2025-04,AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,3268
2025-05,AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,3291
2025-06,AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,3125
2025-07,AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,3210
2025-08,AGUILA IMPERIAL BOTELLA RETORNABLE 330.0,3499
2024-09,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2546
2024-10,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2717
2024-11,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2639
2024-12,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2372
2025-01,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2213
2025-02,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2673
2025-03,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2342
2025-04,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2288
2025-05,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2415
2025-06,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2444
2025-07,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2466
2025-08,AGUILA LIGHT BOTELLA NO RETORNABLE 330.0,2105
2024-09,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,4967
2024-10,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,4818
2024-11,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5469
2024-12,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5386
2025-01,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5301
2025-02,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5289
2025-03,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5515
2025-04,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5342
2025-05,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5827
2025-06,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5870
2025-07,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5947
2025-08,AGUILA LIGHT BOTELLA RETORNABLE 1000.0,5658
2024-09,AGUILA LIGHT BOTELLA RETORNABLE 250.0,2059
2024-10,AGUILA LIGHT BOTELLA RETORNABLE 250.0,1553
2024-11,AGUILA LIGHT BOTELLA RETORNABLE 250.0,1751
2024-12,AGUILA LIGHT BOTELLA RETORNABLE 250.0,2039
2025-01,AGUILA LIGHT BOTELLA RETORNABLE 250.0,1918
2025-02,AGUILA LIGHT BOTELLA RETORNABLE 250.0,2459
2025-03,AGUILA LIGHT BOTELLA RETORNABLE 250.0,2412
2025-04,AGUILA LIGHT BOTELLA RETORNABLE 250.0,2011
2025-05,AGUILA LIGHT BOTELLA RETORNABLE 250.0,2140
2025-06,AGUILA LIGHT BOTELLA RETORNABLE 250.0,2412
2025-07,AGUILA LIGHT BOTELLA RETORNABLE 250.0,2130
2025-08,AGUILA LIGHT BOTELLA RETORNABLE 250.0,1931
2024-09,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2214
2024-10,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2388
2024-11,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2398
2024-12,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2477
2025-01,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2507
2025-02,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2420
2025-03,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2953
2025-04,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2529
2025-05,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2644
2025-06,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2415
2025-07,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2491.666667
2025-08,AGUILA LIGHT BOTELLA RETORNABLE 330.0,2412
2024-09,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4506
2024-10,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4243
2024-11,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4587
2024-12,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4304
2025-01,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4333
2025-02,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4710
2025-03,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4880
2025-04,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4870
2025-05,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4343
2025-06,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4629
2025-07,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4991
2025-08,AGUILA LIGHT BOTELLA RETORNABLE 750.0,4275
2024-09,AGUILA LIGHT LATA NO RETORNABLE 269.0,2060
2024-10,AGUILA LIGHT LATA NO RETORNABLE 269.0,2198
2024-11,AGUILA LIGHT LATA NO RETORNABLE 269.0,1737
2024-12,AGUILA LIGHT LATA NO RETORNABLE 269.0,2223
2025-01,AGUILA LIGHT LATA NO RETORNABLE 269.0,1893
2025-02,AGUILA LIGHT LATA NO RETORNABLE 269.0,1548
2025-03,AGUILA LIGHT LATA NO RETORNABLE 269.0,1895
2025-04,AGUILA LIGHT LATA NO RETORNABLE 269.0,2274
2025-05,AGUILA LIGHT LATA NO RETORNABLE 269.0,1794
2025-06,AGUILA LIGHT LATA NO RETORNABLE 269.0,1794
2025-07,AGUILA LIGHT LATA NO RETORNABLE 269.0,2464
2025-08,AGUILA LIGHT LATA NO RETORNABLE 269.0,2416
2024-09,AGUILA LIGHT LATA NO RETORNABLE 330.0,3397
2024-10,AGUILA LIGHT LATA NO RETORNABLE 330.0,3426
2024-11,AGUILA LIGHT LATA NO RETORNABLE 330.0,3570
2024-12,AGUILA LIGHT LATA NO RETORNABLE 330.0,3414
2025-01,AGUILA LIGHT LATA NO RETORNABLE 330.0,3611
2025-02,AGUILA LIGHT LATA NO RETORNABLE 330.0,3747
2025-03,AGUILA LIGHT LATA NO RETORNABLE 330.0,3468
2025-04,AGUILA LIGHT LATA NO RETORNABLE 330.0,3645
2025-05,AGUILA LIGHT LATA NO RETORNABLE 330.0,3196
2025-06,AGUILA LIGHT LATA NO RETORNABLE 330.0,3052
2025-07,AGUILA LIGHT LATA NO RETORNABLE 330.0,3723.333333
2025-08,AGUILA LIGHT LATA NO RETORNABLE 330.0,3376
2024-09,AGUILA LIGHT LATA NO RETORNABLE 473.0,3559
2024-10,AGUILA LIGHT LATA NO RETORNABLE 473.0,3835
2024-11,AGUILA LIGHT LATA NO RETORNABLE 473.0,3556
2024-12,AGUILA LIGHT LATA NO RETORNABLE 473.0,3810
2025-01,AGUILA LIGHT LATA NO RETORNABLE 473.0,3641
2025-02,AGUILA LIGHT LATA NO RETORNABLE 473.0,3404
2025-03,AGUILA LIGHT LATA NO RETORNABLE 473.0,3374
2025-04,AGUILA LIGHT LATA NO RETORNABLE 473.0,3989
2025-05,AGUILA LIGHT LATA NO RETORNABLE 473.0,3895
2025-06,AGUILA LIGHT LATA NO RETORNABLE 473.0,3482
2025-07,AGUILA LIGHT LATA NO RETORNABLE 473.0,3693
2025-08,AGUILA LIGHT LATA NO RETORNABLE 473.0,3852
2024-09,AUSTEN OTRAS LATA NO RETORNABLE 330.0,2278
2024-10,AUSTEN OTRAS LATA NO RETORNABLE 330.0,1585
2024-11,AUSTEN OTRAS LATA NO RETORNABLE 330.0,1628
2024-12,AUSTEN OTRAS LATA NO RETORNABLE 330.0,1875
2025-01,AUSTEN OTRAS LATA NO RETORNABLE 330.0,2124
2025-02,AUSTEN OTRAS LATA NO RETORNABLE 330.0,1650
2025-03,AUSTEN OTRAS LATA NO RETORNABLE 330.0,1798
2025-04,AUSTEN OTRAS LATA NO RETORNABLE 330.0,1942
2025-05,AUSTEN OTRAS LATA NO RETORNABLE 330.0,1824
2025-06,AUSTEN OTRAS LATA NO RETORNABLE 330.0,2009
2025-07,AUSTEN OTRAS LATA NO RETORNABLE 330.0,2229
2025-08,AUSTEN OTRAS LATA NO RETORNABLE 330.0,2118
2024-09,AZTECA CTE LATA NO RETORNABLE 330.0,2114
2024-10,AZTECA CTE LATA NO RETORNABLE 330.0,1753
2024-11,AZTECA CTE LATA NO RETORNABLE 330.0,1987
2024-12,AZTECA CTE LATA NO RETORNABLE 330.0,1862
2025-01,AZTECA CTE LATA NO RETORNABLE 330.0,1990
2025-02,AZTECA CTE LATA NO RETORNABLE 330.0,1894
2025-03,AZTECA CTE LATA NO RETORNABLE 330.0,1855
2025-04,AZTECA CTE LATA NO RETORNABLE 330.0,1801
2025-05,AZTECA CTE LATA NO RETORNABLE 330.0,2297
2025-06,AZTECA CTE LATA NO RETORNABLE 330.0,1727
2025-07,AZTECA CTE LATA NO RETORNABLE 330.0,1762
2025-08,AZTECA CTE LATA NO RETORNABLE 330.0,1705
2024-09,BAHIA CTE LATA NO RETORNABLE 330.0,1792
2024-10,BAHIA CTE LATA NO RETORNABLE 330.0,2201
2024-11,BAHIA CTE LATA NO RETORNABLE 330.0,1935
2024-12,BAHIA CTE LATA NO RETORNABLE 330.0,2220
2025-01,BAHIA CTE LATA NO RETORNABLE 330.0,2164
2025-02,BAHIA CTE LATA NO RETORNABLE 330.0,1915
2025-03,BAHIA CTE LATA NO RETORNABLE 330.0,1529
2025-04,BAHIA CTE LATA NO RETORNABLE 330.0,1690
2025-05,BAHIA CTE LATA NO RETORNABLE 330.0,2073
2025-06,BAHIA CTE LATA NO RETORNABLE 330.0,1976
2025-07,BAHIA CTE LATA NO RETORNABLE 330.0,2202
2025-08,BAHIA CTE LATA NO RETORNABLE 330.0,2051
2024-09,BECK'S CTE BOTELLA NO RETORNABLE 275.0,2267
2024-10,BECK'S CTE BOTELLA NO RETORNABLE 275.0,2624
2024-12,BECK'S CTE BOTELLA NO RETORNABLE 275.0,2715
2024-09,BECK'S CTE LATA NO RETORNABLE 330.0,2663
2024-10,BECK'S CTE LATA NO RETORNABLE 330.0,2870
2024-12,BECK'S CTE LATA NO RETORNABLE 330.0,2996
2025-03,BECK'S CTE LATA NO RETORNABLE 330.0,2852
2024-09,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,5482
2024-10,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,4784
2024-11,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,4840
2024-12,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,5459
2025-01,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,5201
2025-02,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,5192
2025-03,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,5290
2025-04,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,4792
2025-05,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,5391
2025-06,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,4762
2025-07,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,4751
2025-08,BOGOTA BEER COMPANY ROSE BOTELLA NO RETORNABLE 330.0,5247
2024-09,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,3720
2024-10,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,3878
2024-11,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,4135
2024-12,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,3961
2025-01,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,4062
2025-02,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,3884
2025-03,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,4077
2025-04,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,3875
2025-05,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,4307
2025-06,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,3796
2025-07,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,4372
2025-08,BOGOTA BEER COMPANY ROSE LATA NO RETORNABLE 269.0,3783
2024-09,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2260
2024-10,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2612
2024-11,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2675
2024-12,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2600
2025-01,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2606
2025-02,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2788
2025-03,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2407
2025-04,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2543
2025-05,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2558
2025-06,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,3030
2025-07,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2822
2025-08,BUDWEISER T. BOTELLA NO RETORNABLE 250.0,2867
2025-05,BUDWEISER T. BOTELLA RETORNABLE 330.0,2816
2025-06,BUDWEISER T. BOTELLA RETORNABLE 330.0,2806
2025-07,BUDWEISER T. BOTELLA RETORNABLE 330.0,3416
2025-08,BUDWEISER T. BOTELLA RETORNABLE 330.0,3203
2024-09,BUDWEISER T. LATA NO RETORNABLE 269.0,2703
2024-10,BUDWEISER T. LATA NO RETORNABLE 269.0,2844
2024-11,BUDWEISER T. LATA NO RETORNABLE 269.0,2263
2024-12,BUDWEISER T. LATA NO RETORNABLE 269.0,2376
2025-01,BUDWEISER T. LATA NO RETORNABLE 269.0,2719
2025-02,BUDWEISER T. LATA NO RETORNABLE 269.0,2792
2025-03,BUDWEISER T. LATA NO RETORNABLE 269.0,2414
2025-04,BUDWEISER T. LATA NO RETORNABLE 269.0,2629
2025-05,BUDWEISER T. LATA NO RETORNABLE 269.0,3171
2025-06,BUDWEISER T. LATA NO RETORNABLE 269.0,2974
2025-07,BUDWEISER T. LATA NO RETORNABLE 269.0,3060
2025-08,BUDWEISER T. LATA NO RETORNABLE 269.0,2701
2024-09,BUDWEISER T. LATA NO RETORNABLE 355.0,3452
2024-09,CLUB COLOMBIA NEGRA BOTELLA NO RETORNABLE 330.0,2979.666667
2024-10,CLUB COLOMBIA NEGRA BOTELLA NO RETORNABLE 330.0,4110
2024-11,CLUB COLOMBIA NEGRA BOTELLA NO RETORNABLE 330.0,4026
2024-09,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,2991.333333
2024-10,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3530
2024-11,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3035
2024-12,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3674
2025-01,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,2921
2025-02,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3418
2025-03,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3233
2025-04,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3654
2025-05,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3416
2025-06,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3969
2025-07,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3242
2025-08,CLUB COLOMBIA NEGRA BOTELLA RETORNABLE 330.0,3289
2024-09,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3440
2024-10,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3582
2024-11,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3905
2024-12,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3264
2025-01,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3959
2025-02,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3586
2025-03,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,4146
2025-04,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3801
2025-05,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3992
2025-06,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3661
2025-07,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3788
2025-08,CLUB COLOMBIA NEGRA LATA NO RETORNABLE 330.0,3860
2024-10,CLUB COLOMBIA OKTOBERFEST LATA NO RETORNABLE 330.0,3245
2024-11,CLUB COLOMBIA OKTOBERFEST LATA NO RETORNABLE 330.0,3763
2024-09,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3427.333333
2024-10,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3287
2024-11,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3577
2024-12,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3292
2025-01,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3348
2025-02,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3833
2025-03,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3905
2025-04,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3560
2025-05,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3977
2025-06,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3266
2025-07,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,4014
2025-08,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 330.0,3972
2024-09,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,3287.333333
2024-10,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,3496
2024-11,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,3350
2024-12,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,3699
2025-01,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,3185
2025-02,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,3699
2025-03,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,3437
2025-04,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0,3364
